ID		2		6		Ae_Gae_2		Ae_Gae_3		All1_Gae_2		All1_Gae_3
BnaA05g27990D		0		1		0		0		0		1
BnaA05g28000D		353		273		79		55		86		60
BnaA05g28010D		1		1		3		1		0		0
BnaA05g28020D		0		6		1		0		0		1
BnaA05g28030D		49		46		19		14		19		21
BnaA05g28040D		0		0		0		0		0		0
BnaA05g28050D		36		33		36		26		20		35
BnaA05g28060D		11		9		4		5		2		3
BnaA05g28070D		30		17		48		40		18		17
BnaA05g28080D		323		281		168		127		150		137
BnaA05g28090D		129		65		36		49		33		40
BnaA05g28100D		82		106		44		43		47		48
BnaA05g28110D		0		7		12		9		2		5
BnaA05g28120D		0		0		1		0		1		0
BnaA05g28130D		0		0		0		0		0		0
BnaA05g28140D		189		262		281		165		205		273
BnaA05g28150D		58		30		33		30		38		46
BnaA05g28160D		0		0		0		0		0		2
BnaA05g28170D		0		0		0		1		0		0
BnaA05g28180D		286		274		288		197		215		266
BnaA05g28190D		0		0		1		1		2		1
BnaA05g28200D		44		28		27		22		33		43
BnaA05g28210D		92		87		66		42		60		69
BnaA05g28220D		214		200		242		154		202		217
BnaA05g28230D		0		0		1		0		0		1
BnaA05g28240D		0		0		0		0		0		0
BnaA05g28250D		502		638		481		443		499		472
BnaA05g28260D		86		15		25		44		34		61
BnaA05g28270D		375		51		76		201		240		355
BnaA05g28280D		0		1		1		1		0		3
BnaA05g28290D		1		0		2		0		2		3
BnaA05g28300D		11		1		20		10		19		16
BnaA05g28310D		64		65		74		36		55		77
BnaA05g28320D		0		0		0		0		0		0
BnaA05g28330D		653		521		794		853		993		1027
BnaA05g28340D		98		209		41		28		53		65
BnaA05g28350D		125		86		136		135		159		164
BnaA05g28360D		13		10		14		4		3		4
BnaA05g28370D		122		160		84		73		99		125
BnaA05g28380D		31		3		1		12		25		17
BnaA05g28390D		451		475		60		36		49		47
BnaA05g28400D		285		404		275		294		263		363
BnaA05g28410D		602		208		695		646		526		593
BnaA05g28420D		252		286		341		272		252		252
BnaA05g28430D		0		0		0		0		0		0
BnaA05g28440D		154		152		108		70		118		164
BnaA05g28450D		626		635		319		313		378		346
BnaA05g28460D		9		15		19		13		5		15
BnaA05g28470D		2075		1829		998		1015		1508		1769
BnaA05g28480D		86		188		62		35		65		84
BnaA05g28490D		52		38		58		24		28		55
BnaA05g28500D		27		0		9		12		7		10
BnaA05g28510D		287		250		325		246		241		342
BnaA05g28520D		49		146		56		47		42		46
BnaA05g28530D		173		237		80		104		91		145
BnaA05g28540D		391		461		167		160		206		254
BnaA05g28550D		172		125		219		170		149		170
BnaA05g28560D		133		101		53		58		64		53
BnaA05g28570D		2		0		6		2		0		3
BnaC04g19310D		0		0		0		0		0		0
BnaC04g19320D		0		0		0		0		0		0
BnaC04g19330D		308		469		356		234		106		212
BnaC04g19340D		2		0		0		0		2		3
BnaC04g19350D		0		0		0		0		0		0
BnaC04g19360D		61		28		29		37		43		35
BnaC04g19370D		28		12		0		4		14		32
BnaC04g19380D		0		0		0		1		0		0
BnaC04g19390D		1		0		1		1		1		0
BnaC04g19400D		0		0		0		0		0		0
BnaC04g19410D		7		15		6		4		6		5
BnaC04g19420D		0		0		0		0		0		0
BnaC04g19430D		5		7		2		1		0		0
BnaC04g19440D		140		121		143		78		100		139
BnaC04g19450D		0		0		0		0		0		0
BnaC04g19460D		0		0		0		0		0		0
BnaC04g19470D		239		256		167		192		85		206
BnaC04g19480D		33		25		32		16		17		35
BnaC04g19490D		0		0		1		0		0		0
BnaC04g19500D		3		0		1		0		0		0
BnaC04g19510D		230		326		169		128		158		240
