ID		2		6		Ae_Gae_2		Ae_Gae_3		All1_Gae_2		All1_Gae_3
BnaA05g28370D		31		50		22		19		27		35
BnaA05g28380D		8		1		1		3		4		5
BnaA05g28390D		115		110		22		4		11		12
BnaA05g28400D		86		86		74		63		57		90
BnaA05g28410D		168		42		183		154		141		161
BnaA05g28420D		60		71		86		61		56		53
BnaA05g28430D		0		0		0		0		0		0
BnaA05g28440D		34		45		24		17		34		45
BnaA05g28450D		135		154		85		75		108		91
BnaA05g28460D		4		7		6		2		2		4
BnaA05g28470D		543		443		255		243		355		442
BnaA05g28480D		28		46		20		7		15		22
BnaA05g28490D		9		14		16		6		6		14
BnaA05g28500D		8		0		4		1		1		2
BnaA05g28510D		64		57		80		51		58		88
BnaA05g28520D		9		28		11		16		15		9
BnaA05g28530D		37		67		24		29		21		39
BnaA05g28540D		111		110		48		30		55		57
BnaA05g28550D		44		42		58		50		37		37
BnaA05g28560D		39		29		14		16		24		14
BnaA05g28570D		1		0		1		1		0		1
BnaC04g19310D		0		0		0		0		0		0
BnaC04g19320D		0		0		0		0		0		0
BnaC04g19330D		76		128		92		64		25		49
BnaC04g19340D		0		0		0		0		0		1
BnaC04g19350D		0		0		0		0		0		0
BnaC04g19360D		18		8		9		8		6		10
BnaC04g19370D		7		4		0		2		1		6
BnaC04g19380D		0		0		0		0		0		0
BnaC04g19390D		0		0		1		0		0		0
BnaC04g19400D		0		0		0		0		0		0
BnaC04g19410D		1		6		2		1		3		0
BnaC04g19420D		0		0		0		0		0		0
BnaC04g19430D		2		2		1		0		0		0
BnaC04g19440D		37		22		37		18		39		29
BnaC04g19450D		0		0		0		0		0		0
BnaC04g19460D		0		0		0		0		0		0
BnaC04g19470D		51		67		42		53		19		74
BnaC04g19480D		8		9		8		4		6		9
BnaC04g19490D		0		0		0		0		0		0
BnaC04g19500D		0		0		1		0		0		0
BnaC04g19510D		62		80		39		26		44		66
BnaC04g19520D		0		0		0		0		0		0
BnaC04g19530D		0		0		0		0		0		0
BnaC04g19540D		0		0		1		0		0		0
BnaC04g19550D		3		2		3		0		0		2
BnaC04g19560D		0		0		0		0		0		0
BnaC04g19570D		0		0		0		0		0		0
BnaC04g19580D		0		0		0		0		0		0
BnaC04g19590D		19		92		21		11		13		20
BnaC04g19600D		5		20		10		6		4		6
BnaC04g19610D		0		0		0		0		0		0
BnaC04g19620D		0		0		0		0		0		0
BnaC04g19630D		3		9		4		1		4		9
BnaC04g19640D		0		0		0		0		0		0
BnaC04g19650D		0		0		0		0		0		0
BnaC04g19660D		0		0		0		0		0		0
BnaC04g19670D		0		1		0		0		0		0
BnaC04g19680D		6		0		0		0		3		5
BnaC04g19690D		0		0		0		0		0		0
BnaC04g19700D		6		3		7		6		3		7
BnaC04g19710D		4		0		0		0		0		0
BnaC04g19720D		0		0		0		0		0		0
BnaC04g19730D		0		0		0		0		0		0
BnaC04g19740D		0		0		0		0		0		0
BnaC04g19750D		0		0		0		0		0		0
BnaC04g19760D		0		0		0		0		0		0
BnaC04g19770D		0		0		0		0		0		0
BnaC04g19780D		0		0		0		0		0		0
BnaC04g19790D		0		0		0		0		0		1
BnaC04g19800D		0		0		0		0		0		0
BnaC04g19810D		0		0		0		0		0		0
BnaC04g19820D		13		0		4		7		5		8
BnaC04g19830D		0		0		0		0		0		0
BnaC04g19840D		0		0		0		0		0		0
BnaC04g19850D		0		0		0		0		0		0
BnaC04g19860D		0		0		0		0		0		0
BnaC04g19870D		1		0		0		1		0		1
