ID		2		6		Ae_Gae_2		Ae_Gae_3		All1_Gae_2		All1_Gae_3
BnaA05g28210D		42		38		26		23		27		32
BnaA05g28220D		113		98		131		79		105		112
BnaA05g28230D		0		0		0		0		0		0
BnaA05g28240D		0		0		0		0		0		0
BnaA05g28250D		263		301		244		225		249		242
BnaA05g28260D		39		7		16		25		20		29
BnaA05g28270D		180		32		37		110		112		186
BnaA05g28280D		0		1		0		0		0		2
BnaA05g28290D		0		0		1		0		2		1
BnaA05g28300D		6		0		9		7		9		8
BnaA05g28310D		33		30		37		28		32		40
BnaA05g28320D		0		0		0		0		0		0
BnaA05g28330D		315		257		419		435		513		512
BnaA05g28340D		51		109		23		19		26		35
BnaA05g28350D		58		43		80		57		77		68
BnaA05g28360D		6		8		8		3		2		4
BnaA05g28370D		63		87		46		36		46		66
BnaA05g28380D		14		1		1		4		10		7
BnaA05g28390D		224		216		32		16		24		28
BnaA05g28400D		147		182		133		124		125		180
BnaA05g28410D		299		95		349		309		271		308
BnaA05g28420D		129		143		179		128		123		123
BnaA05g28430D		0		0		0		0		0		0
BnaA05g28440D		79		74		51		33		66		82
BnaA05g28450D		309		314		155		147		207		181
BnaA05g28460D		7		12		10		4		3		8
BnaA05g28470D		1044		923		507		499		733		886
BnaA05g28480D		48		94		35		17		34		47
BnaA05g28490D		26		21		33		11		13		29
BnaA05g28500D		13		0		6		8		3		3
BnaA05g28510D		137		123		162		111		117		165
BnaA05g28520D		25		70		23		27		25		21
BnaA05g28530D		77		117		40		50		48		66
BnaA05g28540D		205		218		93		72		106		117
BnaA05g28550D		78		72		118		97		72		77
BnaA05g28560D		66		55		33		30		32		28
BnaA05g28570D		1		0		3		2		0		2
BnaC04g19310D		0		0		0		0		0		0
BnaC04g19320D		0		0		0		0		0		0
BnaC04g19330D		143		260		179		120		45		114
BnaC04g19340D		1		0		0		0		1		1
BnaC04g19350D		0		0		0		0		0		0
BnaC04g19360D		32		13		13		13		22		16
BnaC04g19370D		12		8		0		4		4		19
BnaC04g19380D		0		0		0		0		0		0
BnaC04g19390D		0		0		1		1		0		0
BnaC04g19400D		0		0		0		0		0		0
BnaC04g19410D		2		9		4		3		4		2
BnaC04g19420D		0		0		0		0		0		0
BnaC04g19430D		5		3		1		0		0		0
BnaC04g19440D		70		50		72		37		60		59
BnaC04g19450D		0		0		0		0		0		0
BnaC04g19460D		0		0		0		0		0		0
BnaC04g19470D		119		127		92		93		40		114
BnaC04g19480D		17		16		22		6		10		20
BnaC04g19490D		0		0		0		0		0		0
BnaC04g19500D		1		0		1		0		0		0
BnaC04g19510D		115		160		85		63		84		122
BnaC04g19520D		0		0		0		0		0		0
BnaC04g19530D		1		0		0		0		0		0
BnaC04g19540D		0		0		2		2		1		0
BnaC04g19550D		4		2		5		1		0		3
BnaC04g19560D		0		0		0		0		0		0
BnaC04g19570D		0		0		0		0		0		1
BnaC04g19580D		0		0		0		0		0		0
BnaC04g19590D		42		192		31		20		27		44
